hit point: Point3 { x: 0.015797174722681894, y: 0.08932038511670176, z: 0.0 } normal:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: 0.015797174722681894, y: 0.08932038511670176, z: 0.0 } normal:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: -0.049598530766638234, y: 0.0692494864258812, z: 0.0 } normal:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: -0.049598530766638234, y: 0.0692494864258812, z: 0.0 } normal:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: -0.0030135254892346805, y: 0.046329634574518684, z: 0.0 } normal:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: -0.0030135254892346805, y: 0.046329634574518684, z: 0.0 } normal:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: 0.008317431348280026, y: 0.06328182553808599, z: 0.0 } normal:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: 0.008317431348280026, y: 0.06328182553808599, z: 0.0 } normal:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: 0.07042015217631245, y: 0.03834318635911593, z: 0.0 } normal:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: 0.07042015217631245, y: 0.03834318635911593, z: 0.0 } normal:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: 0.08133194382131634, y: 0.04855594040753938, z: 0.0 } normal:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: 0.08133194382131634, y: 0.04855594040753938, z: 0.0 } normal:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: -0.07907268618059876, y: 0.014836672651239979, z: 0.0 } normal:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: -0.07907268618059876, y: 0.014836672651239979, z: 0.0 } normal:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: -0.05281151685312935, y: 0.029640856275660706, z: 0.0 } normal:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: -0.05281151685312935, y: 0.029640856275660706, z: 0.0 } normal:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: -0.001831469375633965, y: 0.013345212594985511, z: 0.0 } normal:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: -0.001831469375633965, y: 0.013345212594985511, z: 0.0 } normal:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: 0.01174633177741775, y: 0.01728289392102571, z: 0.0 } normal:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: 0.01174633177741775, y: 0.01728289392102571, z: 0.0 } normal:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: 0.0541831274244986, y: 0.004389930889627358, z: 0.0 } normal:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: 0.0541831274244986, y: 0.004389930889627358, z: 0.0 } normal:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: 0.09292750944665133, y: 0.026642209855669917, z: 0.0 } normal:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: 0.09292750944665133, y: 0.026642209855669917, z: 0.0 } normal:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: -0.040570687315688754, y: -0.011122253123175342, z: 0.0 } normal:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: -0.040570687315688754, y: -0.011122253123175342, z: 0.0 } normal:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: -0.025156519604481176, y: -0.025358081187847506, z: 0.0 } normal:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: -0.025156519604481176, y: -0.025358081187847506, z: 0.0 } normal:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: 0.004239555569116505, y: -0.03125214418679861, z: 0.0 } normal:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: 0.004239555569116505, y: -0.03125214418679861, z: 0.0 } normal:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: 0.05416068943873959, y: -0.004372012330595609, z: 0.0 } normal:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: 0.05416068943873959, y: -0.004372012330595609, z: 0.0 } normal:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: -0.059858651459220626, y: -0.06315920776280065, z: 0.0 } normal:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: -0.059858651459220626, y: -0.06315920776280065, z: 0.0 } normal:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: -0.027576603625707814, y: -0.05847767896519826, z: 0.0 } normal:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: -0.027576603625707814, y: -0.05847767896519826, z: 0.0 } normal:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: 0.03334789909359781, y: -0.06447103986624379, z: 0.0 } normal:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: 0.03334789909359781, y: -0.06447103986624379, z: 0.0 } normal:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: 0.061844212371933514, y: -0.049856733589106736, z: 0.0 } normal:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: 0.061844212371933514, y: -0.049856733589106736, z: 0.0 } normal:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: -0.02576358086515569, y: -0.09176059537319396, z: 0.0 } normal:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: -0.02576358086515569, y: -0.09176059537319396, z: 0.0 } normal:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: -0.006444214639844148, y: 0.07702626245322416, z: 0.0 } w:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: -0.006444214639844148, y: 0.07702626245322416, z: 0.0 } w:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: 0.0023015944265914355, y: 0.08861422413406429, z: 0.0 } w:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: 0.0023015944265914355, y: 0.08861422413406429, z: 0.0 } w:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: 0.049802102638324366, y: 0.08594851039181872, z: 0.0 } w:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: 0.049802102638324366, y: 0.08594851039181872, z: 0.0 } w:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: -0.05329163459628053, y: 0.06180748901017879, z: 0.0 } w:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: -0.05329163459628053, y: 0.06180748901017879, z: 0.0 } w:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: -0.022090197415455214, y: 0.03806879032796147, z: 0.0 } w:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: -0.022090197415455214, y: 0.03806879032796147, z: 0.0 } w:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: 0.021978218563683247, y: 0.05826777496154775, z: 0.0 } w:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: 0.021978218563683247, y: 0.05826777496154775, z: 0.0 } w:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: 0.047681366551335105, y: 0.04511341624741192, z: 0.0 } w:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: 0.047681366551335105, y: 0.04511341624741192, z: 0.0 } w:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: 0.07778061878966866, y: 0.062074491867434564, z: 0.0 } w:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: 0.07778061878966866, y: 0.062074491867434564, z: 0.0 } w:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: -0.07218606584539522, y: 0.03305093076172518, z: 0.0 } w:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: -0.07218606584539522, y: 0.03305093076172518, z: 0.0 } w:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: -0.003715368559604393, y: 0.0016850484645454245, z: 0.0 } w:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: -0.003715368559604393, y: 0.0016850484645454245, z: 0.0 } w:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: 0.032466448520731814, y: 0.006683229949558011, z: 0.0 } w:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: 0.032466448520731814, y: 0.006683229949558011, z: 0.0 } w:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: 0.05589236463186875, y: 0.009075554129394271, z: 0.0 } w:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: 0.05589236463186875, y: 0.009075554129394271, z: 0.0 } w:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: 0.0756430377627373, y: 0.00885988967258129, z: 0.0 } w:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: 0.0756430377627373, y: 0.00885988967258129, z: 0.0 } w:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: -0.07661919059181468, y: -0.0037878213066095514, z: 0.0 } w:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: -0.07661919059181468, y: -0.0037878213066095514, z: 0.0 } w:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: -0.05502256553800837, y: -0.0278976006870538, z: 0.0 } w:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: -0.05502256553800837, y: -0.0278976006870538, z: 0.0 } w:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: -0.015935255243537585, y: -0.0037199515870899092, z: 0.0 } w:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: -0.015935255243537585, y: -0.0037199515870899092, z: 0.0 } w:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: 0.005718880292605099, y: -0.01600383703025283, z: 0.0 } w:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: 0.005718880292605099, y: -0.01600383703025283, z: 0.0 } w:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: 0.05650276599445192, y: -0.026095588181254393, z: 0.0 } w:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: 0.05650276599445192, y: -0.026095588181254393, z: 0.0 } w:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: -0.040671126524139824, y: -0.04133441625412697, z: 0.0 } w:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: -0.040671126524139824, y: -0.04133441625412697, z: 0.0 } w:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: -0.03673139067989766, y: -0.07044294305985764, z: 0.0 } w:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: -0.03673139067989766, y: -0.07044294305985764, z: 0.0 } w:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: 0.00768283289578111, y: -0.07157642719834917, z: 0.0 } w:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: 0.00768283289578111, y: -0.07157642719834917, z: 0.0 } w:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: 0.038503674597435554, y: -0.06266005681832407, z: 0.0 } w:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: 0.038503674597435554, y: -0.06266005681832407, z: 0.0 } w:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: -0.04514549739446601, y: -0.08783456964785756, z: 0.0 } w:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: -0.04514549739446601, y: -0.08783456964785756, z: 0.0 } w:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: -0.022491758022023408, y: -0.09363505623120041, z: 0.0 } w:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: -0.022491758022023408, y: -0.09363505623120041, z: 0.0 } w:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: -0.009519332050133401, y: 0.09668110334424185, z: 0.0 } planar_hitpt_vector:Vec3 { x: 1.9904806679498666, y: 2.096681103344242, z: 0.0 }
hit point: Point3 { x: -0.009519332050133401, y: 0.09668110334424185, z: 0.0 } planar_hitpt_vector:Vec3 { x: 1.9904806679498666, y: 2.096681103344242, z: 0.0 }
hit point: Point3 { x: 0.044355727012307965, y: 0.08277860904461427, z: 0.0 } planar_hitpt_vector:Vec3 { x: 2.044355727012308, y: 2.082778609044614, z: 0.0 }
hit point: Point3 { x: 0.044355727012307965, y: 0.08277860904461427, z: 0.0 } planar_hitpt_vector:Vec3 { x: 2.044355727012308, y: 2.082778609044614, z: 0.0 }
hit point: Point3 { x: -0.04543728113428695, y: 0.051856758732185065, z: 0.0 } planar_hitpt_vector:Vec3 { x: 1.954562718865713, y: 2.051856758732185, z: 0.0 }
hit point: Point3 { x: -0.04543728113428695, y: 0.051856758732185065, z: 0.0 } planar_hitpt_vector:Vec3 { x: 1.954562718865713, y: 2.051856758732185, z: 0.0 }
hit point: Point3 { x: -0.03174229013648854, y: 0.05722615625155728, z: 0.0 } planar_hitpt_vector:Vec3 { x: 1.9682577098635115, y: 2.0572261562515575, z: 0.0 }
hit point: Point3 { x: -0.03174229013648854, y: 0.05722615625155728, z: 0.0 } planar_hitpt_vector:Vec3 { x: 1.9682577098635115, y: 2.0572261562515575, z: 0.0 }
hit point: Point3 { x: 0.00830843140675359, y: 0.06914579458512105, z: 0.0 } planar_hitpt_vector:Vec3 { x: 2.0083084314067534, y: 2.069145794585121, z: 0.0 }
hit point: Point3 { x: 0.00830843140675359, y: 0.06914579458512105, z: 0.0 } planar_hitpt_vector:Vec3 { x: 2.0083084314067534, y: 2.069145794585121, z: 0.0 }
hit point: Point3 { x: 0.04486087580247666, y: 0.04533076382223946, z: 0.0 } planar_hitpt_vector:Vec3 { x: 2.0448608758024767, y: 2.0453307638222396, z: 0.0 }
hit point: Point3 { x: 0.04486087580247666, y: 0.04533076382223946, z: 0.0 } planar_hitpt_vector:Vec3 { x: 2.0448608758024767, y: 2.0453307638222396, z: 0.0 }
hit point: Point3 { x: -0.06739677444709233, y: 0.016252350553833315, z: 0.0 } planar_hitpt_vector:Vec3 { x: 1.9326032255529078, y: 2.0162523505538332, z: 0.0 }
hit point: Point3 { x: -0.06739677444709233, y: 0.016252350553833315, z: 0.0 } planar_hitpt_vector:Vec3 { x: 1.9326032255529078, y: 2.0162523505538332, z: 0.0 }
hit point: Point3 { x: -0.011387676035863947, y: 0.020149123936603883, z: 0.0 } planar_hitpt_vector:Vec3 { x: 1.988612323964136, y: 2.020149123936604, z: 0.0 }
hit point: Point3 { x: -0.011387676035863947, y: 0.020149123936603883, z: 0.0 } planar_hitpt_vector:Vec3 { x: 1.988612323964136, y: 2.020149123936604, z: 0.0 }
hit point: Point3 { x: 0.021434500061268128, y: 0.026081621395078795, z: 0.0 } planar_hitpt_vector:Vec3 { x: 2.021434500061268, y: 2.026081621395079, z: 0.0 }
hit point: Point3 { x: 0.021434500061268128, y: 0.026081621395078795, z: 0.0 } planar_hitpt_vector:Vec3 { x: 2.021434500061268, y: 2.026081621395079, z: 0.0 }
